,0,1,2,3,4
0,2018-03-16 17:26:45.371,-18000000,-0.33538818359375,-0.31951904296875,-0.16400146484375
1,2018-03-16 17:26:45.407,-18000000,-0.33404541015625,-0.3251953125,-0.16107177734375
2,2018-03-16 17:26:45.443,-18000000,-0.3365478515625,-0.323486328125,-0.1610107421875
3,2018-03-16 17:26:45.479,-18000000,-0.33746337890625,-0.3175048828125,-0.16009521484375
4,2018-03-16 17:26:45.515,-18000000,-0.3388671875,-0.32232666015625,-0.1597900390625
5,2018-03-16 17:26:45.551,-18000000,-0.339111328125,-0.31988525390625,-0.160888671875
6,2018-03-16 17:26:45.587,-18000000,-0.3375244140625,-0.31732177734375,-0.15826416015625
7,2018-03-16 17:26:45.623,-18000000,-0.33843994140625,-0.32244873046875,-0.15777587890625
8,2018-03-16 17:26:45.659,-18000000,-0.339111328125,-0.3238525390625,-0.1572265625
9,2018-03-16 17:26:45.695,-18000000,-0.33935546875,-0.32281494140625,-0.15496826171875
10,2018-03-16 17:26:46.175,-18000000,-0.33941650390625,-0.320068359375,-0.15570068359375
21,2018-03-16 17:26:46.214,-18000000,-0.3353271484375,-0.3282470703125,-0.140869140625
22,2018-03-16 17:26:46.253,-18000000,-0.33575439453125,-0.32940673828125,-0.14105224609375
23,2018-03-16 17:26:46.292,-18000000,-0.336181640625,-0.33477783203125,-0.14202880859375
24,2018-03-16 17:26:46.331,-18000000,-0.3377685546875,-0.3355712890625,-0.1419677734375
25,2018-03-16 17:26:46.370,-18000000,-0.33819580078125,-0.331298828125,-0.1396484375
26,2018-03-16 17:26:46.409,-18000000,-0.34161376953125,-0.32904052734375,-0.13629150390625
27,2018-03-16 17:26:46.448,-18000000,-0.34356689453125,-0.3265380859375,-0.13494873046875
28,2018-03-16 17:26:46.487,-18000000,-0.34539794921875,-0.3294677734375,-0.1343994140625
29,2018-03-16 17:26:46.526,-18000000,-0.34661865234375,-0.33203125,-0.1287841796875
31,2018-03-16 17:26:46.568,-18000000,-0.34613037109375,-0.33050537109375,-0.120361328125
32,2018-03-16 17:26:46.610,-18000000,-0.34320068359375,-0.32818603515625,-0.11431884765625
33,2018-03-16 17:26:46.652,-18000000,-0.3466796875,-0.33050537109375,-0.1142578125
34,2018-03-16 17:26:46.694,-18000000,-0.34619140625,-0.3311767578125,-0.106201171875
35,2018-03-16 17:26:46.736,-18000000,-0.358154296875,-0.34698486328125,-0.09246826171875
